player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
PalmCa00,Carson Palmer,QB,2004,25,13,QB,159,,22,,All 2004 Games
PalmCa00,Carson Palmer,QB,2005,26,16,QB,266,70,1,17,All 2005 Games
PalmCa00,Carson Palmer,QB,2006,27,16,QB,237,53,5,23,All 2006 Games
PalmCa00,Carson Palmer,QB,2007,28,16,QB,228,24,9,47,All 2007 Games
PalmCa00,Carson Palmer,QB,2008,29,4,QB,37,,40,,All 2008 Games
PalmCa00,Carson Palmer,QB,2009,30,16,QB,211,,17,,All 2009 Games
PalmCa00,Carson Palmer,QB,2010,31,16,QB,224,,13,75,All 2010 Games
PalmCa00,Carson Palmer,QB,2011,32,10,QB,136,,26,,All 2011 Games
PalmCa00,Carson Palmer,QB,2012,33,15,QB,224,,18,,All 2012 Games
PalmCa00,Carson Palmer,QB,2013,34,16,QB,217,,17,,All 2013 Games
PalmCa00,Carson Palmer,QB,2014,35,6,QB,104,,31,,All 2014 Games
PalmCa00,Carson Palmer,QB,2015,36,16,QB,309,25,5,45,All 2015 Games
PalmCa00,Carson Palmer,QB,2016,37,15,QB,243,,19,,All 2016 Games
PalmCa00,Carson Palmer,QB,2017,38,7,QB,102,,32,,All 2017 Games
