player_id,player_name,position,year,team,level,pos,voters
PeteAd01,Adrian Peterson,RB,2007,1st Tm,All-Conf.,RB,Pro Football Writers
PeteAd01,Adrian Peterson,RB,2007,2nd Tm,,RB,Associated Press
PeteAd01,Adrian Peterson,RB,2007,1st Tm,,,Sporting News
PeteAd01,Adrian Peterson,RB,2008,1st Tm,All-Conf.,RB,Pro Football Writers
PeteAd01,Adrian Peterson,RB,2008,1st Tm,,RB,Associated Press
PeteAd01,Adrian Peterson,RB,2008,1st Tm,,,Pro Football Writers
PeteAd01,Adrian Peterson,RB,2008,1st Tm,,,Sporting News
PeteAd01,Adrian Peterson,RB,2009,1st Tm,All-Conf.,RB,Pro Football Writers
PeteAd01,Adrian Peterson,RB,2009,1st Tm,,RB,Associated Press
PeteAd01,Adrian Peterson,RB,2009,1st Tm,,,Pro Football Writers
PeteAd01,Adrian Peterson,RB,2009,1st Tm,,,Sporting News
PeteAd01,Adrian Peterson,RB,2010,1st Tm,All-Conf.,RB,Pro Football Writers
PeteAd01,Adrian Peterson,RB,2010,2nd Tm,,RB,Associated Press
PeteAd01,Adrian Peterson,RB,2010,2nd Tm,,RB,Pro Football Focus
PeteAd01,Adrian Peterson,RB,2012,1st Tm,All-Conf.,RB,Pro Football Writers
PeteAd01,Adrian Peterson,RB,2012,1st Tm,,RB,Associated Press
PeteAd01,Adrian Peterson,RB,2012,1st Tm,,RB,Pro Football Writers
PeteAd01,Adrian Peterson,RB,2012,1st Tm,,RB,Pro Football Focus
PeteAd01,Adrian Peterson,RB,2012,1st Tm,,RB,Sporting News
PeteAd01,Adrian Peterson,RB,2013,2nd Tm,,RB,Associated Press
PeteAd01,Adrian Peterson,RB,2015,1st Tm,All-Conf.,RB,Pro Football Writers
PeteAd01,Adrian Peterson,RB,2015,1st Tm,,RB,Associated Press
PeteAd01,Adrian Peterson,RB,2015,1st Tm,,RB,Pro Football Writers
PeteAd01,Adrian Peterson,RB,2015,1st Tm,,RB,Sporting News
