player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
RashAh00,Ahmad Rashad,WR,1972,23,14,WR,67,,26,,All 1972 Games
RashAh00,Ahmad Rashad,WR,1973,24,13,WR,59,,29,,All 1973 Games
RashAh00,Ahmad Rashad,WR,1974,25,14,WR,79,19,15,47,All 1974 Games
RashAh00,Ahmad Rashad,WR,1976,27,13,WR,84,12,23,57,All 1976 Games
RashAh00,Ahmad Rashad,WR,1977,28,14,WR,78,12,23,60,All 1977 Games
RashAh00,Ahmad Rashad,WR,1978,29,16,WR,123,40,10,28,All 1978 Games
RashAh00,Ahmad Rashad,WR,1979,30,16,WR,168,68,4,13,All 1979 Games
RashAh00,Ahmad Rashad,WR,1980,31,16,WR,140,40,6,25,All 1980 Games
RashAh00,Ahmad Rashad,WR,1981,32,16,WR,129,34,19,49,All 1981 Games
RashAh00,Ahmad Rashad,WR,1982,33,7,WR,23,,70,,All 1982 Games
