player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
RiceJe00,Jerry Rice,WR,1985,23,SFO,NFL,WR,16,4,98,49,927,18.9,3,38,46.9,66,3.1,57.9,50.0,9.5,6,26,1,2,66.7,15,4.3,1.6,0.4,55,17.3,953,4,1,9,
RiceJe00,Jerry Rice,WR,1986,24,SFO,NFL,WR,16,15,152,86,1570,18.3,15,69,49.3,66,5.4,98.1,56.6,10.3,10,72,1,5,80.0,18,7.2,4.5,0.6,96,17.1,1642,16,2,14,"PB,AP-1,AP MVP-6,AP OPoY-3"
RiceJe00,Jerry Rice,WR,1987,25,SFO,NFL,WR,12,12,112,65,1078,16.6,22,54,55.4,57,5.4,89.8,58.0,9.6,8,51,1,5,75.0,17,6.4,4.3,0.7,73,15.5,1129,23,2,15,"PB,AP-1,AP MVP-2,AP OPoY-1"
RiceJe00,Jerry Rice,WR,1988,26,SFO,NFL,WR,16,16,121,64,1306,20.4,9,48,50.4,96,4.0,81.6,52.9,10.8,13,107,1,7,61.5,29,8.2,6.7,0.8,77,18.4,1413,10,2,15,"PB,AP-1"
RiceJe00,Jerry Rice,WR,1989,27,SFO,NFL,WR,16,16,131,82,1483,18.1,17,67,58.0,68,5.1,92.7,62.6,11.3,5,33,0,2,60.0,17,6.6,2.1,0.3,87,17.4,1516,17,0,17,"PB,AP-1,AP OPoY-2"
RiceJe00,Jerry Rice,WR,1990,28,SFO,NFL,WR,16,16,176,100,1502,15.0,13,73,52.3,64,6.3,93.9,56.8,8.5,2,0,0,1,50.0,,0.0,0.0,0.1,102,14.7,1502,13,1,14,"PB,AP-1,AP MVP-7,AP OPoY-5"
RiceJe00,Jerry Rice,WR,1991,29,SFO,NFL,WR,16,16,134,80,1206,15.1,14,54,49.3,73,5.0,75.4,59.7,9.0,1,2,0,0,0.0,2,2.0,0.1,0.1,81,14.9,1208,14,1,13,PB
RiceJe00,Jerry Rice,WR,1992,30,SFO,NFL,WR,16,16,139,84,1201,14.3,10,58,53.2,80,5.3,75.1,60.4,8.6,9,58,1,3,44.4,26,6.4,3.6,0.6,93,13.5,1259,11,2,16,"PB,AP-1"
RiceJe00,Jerry Rice,WR,1993,31,SFO,NFL,WR,16,16,154,98,1503,15.3,15,72,57.1,80,6.1,93.9,63.6,9.8,3,69,1,2,100.0,43,23.0,4.3,0.2,101,15.6,1572,16,3,20,"PB,AP-1,AP MVP-3,AP OPoY-1"
RiceJe00,Jerry Rice,WR,1994,32,SFO,NFL,WR,16,16,151,112,1499,13.4,13,77,63.6,69,7.0,93.7,74.2,9.9,7,93,2,5,71.4,28,13.3,5.8,0.4,119,13.4,1592,15,1,21,"PB,AP-1,AP MVP-3,AP OPoY-3"
RiceJe00,Jerry Rice,WR,1995,33,SFO,NFL,WR,16,16,178,122,1848,15.1,15,75,59.0,81,7.6,115.5,68.5,10.4,5,36,1,3,60.0,20,7.2,2.3,0.3,127,14.8,1884,16,3,19,"PB,AP-1,AP MVP-2,AP OPoY-3"
RiceJe00,Jerry Rice,WR,1996,34,SFO,NFL,WR,16,16,154,108,1254,11.6,8,72,61.7,39,6.8,78.4,70.1,8.1,11,77,1,4,45.5,38,7.0,4.8,0.7,119,11.2,1331,9,0,14,"PB,AP-1,AP OPoY-5"
RiceJe00,Jerry Rice,WR,1997,35,SFO,NFL,WR,2,1,8,7,78,11.1,1,4,62.5,16,3.5,39.0,87.5,9.8,1,-10,0,0,0.0,-10,-10.0,-5.0,0.5,8,8.5,68,1,0,1,
RiceJe00,Jerry Rice,WR,1998,36,SFO,NFL,WR,16,16,151,82,1157,14.1,9,55,49.0,75,5.1,72.3,54.3,7.7,0,0,0,0,,,,0.0,0.0,82,14.1,1157,9,2,12,"PB,AP CPoY-4"
RiceJe00,Jerry Rice,WR,1999,37,SFO,NFL,WR,16,16,124,67,830,12.4,5,41,46.0,62,4.2,51.9,54.0,6.7,2,13,0,1,50.0,11,6.5,0.8,0.1,69,12.2,843,5,0,7,
RiceJe00,Jerry Rice,WR,2000,38,SFO,NFL,WR,16,16,122,75,805,10.7,7,49,51.6,68,4.7,50.3,61.5,6.6,1,-2,0,0,0.0,-2,-2.0,-0.1,0.1,76,10.6,803,7,3,9,
RiceJe00,Jerry Rice,WR,2001,39,OAK,NFL,WR,16,15,126,83,1139,13.7,9,62,63.5,40,5.2,71.2,65.9,9.0,0,0,0,0,,,,0.0,0.0,83,13.7,1139,9,1,12,
