player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,xpm,xpa,fgm,fga,safety_md,scoring,points_per_g,awards
RiceJe00,Jerry Rice,WR,1988,26,SFO,NFL,WR,3,3,0,6,0,0,0,0,0,6,,0,0,0,0,0,36,12.0,SB MVP
RiceJe00,Jerry Rice,WR,1989,27,SFO,NFL,WR,3,3,0,5,0,0,0,0,0,5,,0,0,0,0,0,30,10.0,
RiceJe00,Jerry Rice,WR,1990,28,SFO,NFL,WR,2,2,0,1,0,0,0,0,0,1,,0,0,0,0,0,6,3.0,
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,1992,30,SFO,NFL,WR,2,2,0,1,0,0,0,0,0,1,,0,0,0,0,0,6,3.0,
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,1994,32,SFO,NFL,WR,3,3,0,4,0,0,0,0,0,4,0,0,0,0,0,0,24,8.0,
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,1996,34,SFO,NFL,WR,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,3.0,
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,1998,36,SFO,NFL,WR,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,3.0,
RiceJe00,Jerry Rice,WR,,,,,,,,,,,,,,,,,,,,,,,,
RiceJe00,Jerry Rice,WR,2001,39,OAK,NFL,WR,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,3.0,
RiceJe00,Jerry Rice,WR,2002,40,OAK,NFL,WR,3,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,4.0,
