player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
RisoAn00,Andre Rison,WR,1989,22,IND,NFL,WR,16,13,114,52,820,15.8,4,33,43.0,61,3.3,51.3,45.6,7.2,3,18,0,1,33.3,18,6.0,1.1,0.2,55,15.2,838,4,1,7,AP ORoY-2
RisoAn00,Andre Rison,WR,1990,23,ATL,NFL,WR,16,15,157,82,1208,14.7,10,55,45.9,75,5.1,75.5,52.2,7.7,0,0,0,0,,,,0.0,0.0,82,14.7,1208,10,2,11,"PB,AP-1"
RisoAn00,Andre Rison,WR,1991,24,ATL,NFL,WR,16,15,140,81,976,12.0,12,51,50.0,39,5.1,61.0,57.9,7.0,1,-9,0,0,0.0,-9,-9.0,-0.6,0.1,82,11.8,967,12,1,9,"PB,AP-2"
RisoAn00,Andre Rison,WR,1992,25,ATL,NFL,WR,15,13,144,93,1119,12.0,11,55,52.8,71,6.2,74.6,64.6,7.8,0,0,0,0,,,,0.0,0.0,93,12.0,1119,11,2,12,"PB,AP-2"
RisoAn00,Andre Rison,WR,1993,26,ATL,NFL,WR,16,16,165,86,1242,14.4,15,62,47.3,53,5.4,77.6,52.1,7.5,0,0,0,0,,,,0.0,0.0,86,14.4,1242,15,2,12,"PB,AP-2"
RisoAn00,Andre Rison,WR,1994,27,ATL,NFL,WR,15,14,155,81,1088,13.4,8,57,47.1,69,5.4,72.5,52.3,7.0,0,0,0,0,,,,0.0,0.0,81,13.4,1088,8,1,9,
RisoAn00,Andre Rison,WR,1995,28,CLE,NFL,WR,16,14,104,47,701,14.9,3,38,45.2,59,2.9,43.8,45.2,6.7,2,0,0,0,50.0,,0.0,0.0,0.1,49,14.3,701,3,1,6,
RisoAn00,Andre Rison,WR,1996,29,2TM,NFL,WR,15,13,91,47,593,12.6,3,25,38.5,61,3.1,39.5,51.6,6.5,0,0,0,0,,,,0.0,0.0,47,12.6,593,3,1,6,
RisoAn00,Andre Rison,WR,1996,29,JAX,NFL,WR,10,9,65,34,458,13.5,2,17,38.5,61,3.4,45.8,52.3,7.0,0,0,0,0,,,,0.0,0.0,34,13.5,458,2,0,4,
RisoAn00,Andre Rison,WR,1996,29,GNB,NFL,WR,5,4,26,13,135,10.4,1,8,38.5,22,2.6,27.0,50.0,5.2,0,0,0,0,,,,0.0,0.0,13,10.4,135,1,1,2,
RisoAn00,Andre Rison,WR,1997,30,KAN,NFL,WR,16,16,153,72,1092,15.2,7,54,43.8,45,4.5,68.3,47.1,7.1,1,2,0,0,0.0,2,2.0,0.1,0.1,73,15.0,1094,7,0,12,PB
RisoAn00,Andre Rison,WR,1998,31,KAN,NFL,WR,14,13,93,40,542,13.6,5,22,34.4,80,2.9,38.7,43.0,5.8,2,12,0,1,50.0,11,6.0,0.9,0.1,42,13.2,554,5,1,5,
RisoAn00,Andre Rison,WR,1999,32,KAN,NFL,WR,15,14,44,21,218,10.4,0,11,38.6,20,1.4,14.5,47.7,5.0,0,0,0,0,,,,0.0,0.0,21,10.4,218,0,0,2,
RisoAn00,Andre Rison,WR,2000,33,OAK,NFL,WR,16,0,70,41,606,14.8,6,29,55.7,49,2.6,37.9,58.6,8.7,0,0,0,0,,,,0.0,0.0,41,14.8,606,6,0,8,AP CPoY-7
