player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
SandEm00,Emmanuel Sanders,WR,2010,23,13,WR,48,,85,,All 2010 Games
SandEm00,Emmanuel Sanders,WR,2011,24,11,WR,41,,97,,All 2011 Games
SandEm00,Emmanuel Sanders,WR,2012,25,16,WR,65,,70,,All 2012 Games
SandEm00,Emmanuel Sanders,WR,2013,26,16,WR,115,,34,,All 2013 Games
SandEm00,Emmanuel Sanders,WR,2014,27,16,WR,201,79,7,18,All 2014 Games
SandEm00,Emmanuel Sanders,WR,2015,28,15,WR,148,21,18,48,All 2015 Games
SandEm00,Emmanuel Sanders,WR,2016,29,16,WR,134,7,21,63,All 2016 Games
SandEm00,Emmanuel Sanders,WR,2017,30,12,WR,68,,61,,All 2017 Games
SandEm00,Emmanuel Sanders,WR,2018,31,12,WR,127,11,24,61,All 2018 Games
SandEm00,Emmanuel Sanders,WR,2019,32,17,WR,124,,32,,All 2019 Games
SandEm00,Emmanuel Sanders,WR,2020,33,14,WR,104,,45,,All 2020 Games
SandEm00,Emmanuel Sanders,WR,2021,34,14,WR,90,,50,,All 2021 Games
