player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
ScotFr01,Freddie Scott,WR,1974,22,14,WR,33,,56,,All 1974 Games
ScotFr01,Freddie Scott,WR,1975,23,8,WR,,,84,,All 1975 Games
ScotFr01,Freddie Scott,WR,1976,24,10,WR,4,,90,,All 1976 Games
ScotFr01,Freddie Scott,WR,1977,25,14,WR,39,,46,,All 1977 Games
ScotFr01,Freddie Scott,WR,1978,26,16,WR,73,,37,,All 1978 Games
ScotFr01,Freddie Scott,WR,1979,27,14,WR,123,23,17,47,All 1979 Games
ScotFr01,Freddie Scott,WR,1980,28,16,WR,120,19,23,56,All 1980 Games
ScotFr01,Freddie Scott,WR,1981,29,16,WR,135,40,16,41,All 1981 Games
ScotFr01,Freddie Scott,WR,1982,30,9,WR,28,,64,,All 1982 Games
ScotFr01,Freddie Scott,WR,1983,31,15,WR,12,,114,,All 1983 Games
