player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,pass_yds_per_att_idx,pass_net_yds_per_att_idx,pass_adj_yds_per_att_idx,pass_adj_net_yds_per_att_idx,pass_cmp_pct_idx,pass_td_pct_idx,pass_int_pct_idx,pass_sacked_pct_idx,pass_rating_idx,awards
StafMa00,Matthew Stafford,QB,2009,21,DET,NFL,QB,10,10,82,83,74,75,74,92,66,100,72,
StafMa00,Matthew Stafford,QB,2010,22,DET,NFL,QB,3,3,74,79,97,100,96,123,126,117,108,
StafMa00,Matthew Stafford,QB,2011,23,DET,NFL,QB,16,16,110,112,114,115,110,121,107,109,116,AP CPoY-1
StafMa00,Matthew Stafford,QB,2012,24,DET,NFL,QB,16,16,94,101,95,99,97,83,107,121,93,
StafMa00,Matthew Stafford,QB,2013,25,DET,NFL,QB,16,16,105,112,101,106,88,102,94,123,97,
StafMa00,Matthew Stafford,QB,2014,26,DET,NFL,QB,16,16,97,97,99,99,92,90,110,95,96,PB
StafMa00,Matthew Stafford,QB,2015,27,DET,NFL,QB,16,16,100,98,104,103,117,112,103,93,111,
StafMa00,Matthew Stafford,QB,2016,28,DET,NFL,QB,16,16,103,104,105,106,110,96,112,102,106,
StafMa00,Matthew Stafford,QB,2017,29,DET,NFL,QB,16,16,114,109,115,111,108,108,110,90,113,
StafMa00,Matthew Stafford,QB,2018,30,DET,NFL,QB,16,16,92,93,95,96,110,93,106,99,100,
StafMa00,Matthew Stafford,QB,2019,31,DET,NFL,QB,8,8,126,123,126,124,99,119,110,105,118,
StafMa00,Matthew Stafford,QB,2020,32,DET,NFL,QB,16,16,111,109,111,109,98,103,107,96,106,
StafMa00,Matthew Stafford,QB,2021,33,LAR,NFL,QB,17,17,120,121,116,116,110,123,89,110,115,
StafMa00,Matthew Stafford,QB,2022,34,LAR,NFL,QB,9,9,96,89,91,88,116,88,93,84,96,
StafMa00,Matthew Stafford,QB,2023,35,LAR,NFL,QB,15,15,113,114,112,114,91,106,104,110,106,"PB,AP MVP-8,AP CPoY-4"
StafMa00,Matthew Stafford,QB,2024,36,LAR,NFL,QB,16,16,104,107,106,108,103,95,114,113,105,
StafMa00,Matthew Stafford,QB,2025,37,LAR,NFL,QB,8,8,113,117,123,127,106,128,123,115,125,
