player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
StalDo00,Donte' Stallworth,WR,2002,22,13,WR,108,,39,,All 2002 Games
StalDo00,Donte' Stallworth,WR,2003,23,11,WR,65,,72,,All 2003 Games
StalDo00,Donte' Stallworth,WR,2004,24,16,WR,110,,35,,All 2004 Games
StalDo00,Donte' Stallworth,WR,2005,25,16,WR,135,19,21,54,All 2005 Games
StalDo00,Donte' Stallworth,WR,2006,26,12,WR,103,,36,,All 2006 Games
StalDo00,Donte' Stallworth,WR,2007,27,16,WR,89,,50,,All 2007 Games
StalDo00,Donte' Stallworth,WR,2008,28,11,WR,23,,114,,All 2008 Games
StalDo00,Donte' Stallworth,WR,2010,30,8,WR,11,,144,,All 2010 Games
StalDo00,Donte' Stallworth,WR,2011,31,11,WR,43,,94,,All 2011 Games
StalDo00,Donte' Stallworth,WR,2012,32,1,WR,12,,142,,All 2012 Games
