player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
TannRy00,Ryan Tannehill,QB,2012,24,16,QB,183,,24,,All 2012 Games
TannRy00,Ryan Tannehill,QB,2013,25,16,QB,238,,16,,All 2013 Games
TannRy00,Ryan Tannehill,QB,2014,26,16,QB,279,13,8,60,All 2014 Games
TannRy00,Ryan Tannehill,QB,2015,27,16,QB,257,,17,,All 2015 Games
TannRy00,Ryan Tannehill,QB,2016,28,13,QB,190,,27,,All 2016 Games
TannRy00,Ryan Tannehill,QB,2018,30,11,QB,142,,30,,All 2018 Games
TannRy00,Ryan Tannehill,QB,2019,31,12,QB,224,,22,,All 2019 Games
TannRy00,Ryan Tannehill,QB,2020,32,16,QB,343,61,7,23,All 2020 Games
TannRy00,Ryan Tannehill,QB,2021,33,17,QB,268,,12,75,All 2021 Games
TannRy00,Ryan Tannehill,QB,2022,34,12,QB,161,,26,,All 2022 Games
TannRy00,Ryan Tannehill,QB,2023,35,10,QB,80,,37,,All 2023 Games
