player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
TateGo00,Golden Tate,WR,2010,22,SEA,NFL,WR,11,0,39,21,227,10.8,0,8,43.6,52,1.9,20.6,53.8,5.8,2,4,0,0,0.0,3,2.0,0.4,0.2,23,10.0,231,0,1,2,
TateGo00,Golden Tate,WR,2011,23,SEA,NFL,WR,16,5,58,35,382,10.9,3,17,43.1,33,2.2,23.9,60.3,6.6,5,14,0,2,40.0,14,2.8,0.9,0.3,40,9.9,396,3,1,3,
TateGo00,Golden Tate,WR,2012,24,SEA,NFL,WR,15,15,68,45,688,15.3,7,28,48.5,51,3.0,45.9,66.2,10.1,3,20,0,1,66.7,13,6.7,1.3,0.2,48,14.8,708,7,1,8,
TateGo00,Golden Tate,WR,2013,25,SEA,NFL,WR,16,13,99,64,898,14.0,5,41,54.5,80,4.0,56.1,64.6,9.1,3,31,0,1,66.7,20,10.3,1.9,0.2,67,13.9,929,5,3,9,
TateGo00,Golden Tate,WR,2014,26,DET,NFL,WR,16,16,144,99,1331,13.4,4,61,54.2,73,6.2,83.2,68.8,9.2,5,30,0,1,60.0,13,6.0,1.9,0.3,104,13.1,1361,4,1,11,PB
TateGo00,Golden Tate,WR,2015,27,DET,NFL,WR,16,16,128,90,813,9.0,6,50,52.3,43,5.6,50.8,70.3,6.4,6,41,0,3,66.7,15,6.8,2.6,0.4,96,8.9,854,6,1,7,
TateGo00,Golden Tate,WR,2016,28,DET,NFL,WR,16,16,135,91,1077,11.8,4,47,49.6,67,5.7,67.3,67.4,8.0,10,4,0,1,20.0,11,0.4,0.3,0.6,101,10.7,1081,4,2,9,
TateGo00,Golden Tate,WR,2017,29,DET,NFL,WR,16,12,120,92,1003,10.9,5,44,55.0,71,5.8,62.7,76.7,8.4,5,22,0,2,40.0,10,4.4,1.4,0.3,97,10.6,1025,5,1,9,
TateGo00,Golden Tate,WR,2018,30,2TM,NFL,WR,15,7,113,74,795,10.7,4,32,46.9,67,4.9,53.0,65.5,7.0,4,34,0,1,50.0,30,8.5,2.3,0.3,78,10.6,829,4,3,6,
TateGo00,Golden Tate,WR,2018,30,DET,NFL,WR,7,4,69,44,517,11.8,3,22,47.8,67,6.3,73.9,63.8,7.5,3,42,0,1,66.7,30,14.0,6.0,0.4,47,11.9,559,3,1,4,
TateGo00,Golden Tate,WR,2018,30,PHI,NFL,WR,8,3,44,30,278,9.3,1,10,45.5,32,3.8,34.8,68.2,6.3,1,-8,0,0,0.0,30,-8.0,-1.0,0.1,31,8.7,270,1,2,2,
TateGo00,Golden Tate,WR,2019,31,NYG,NFL,WR,11,10,85,49,676,13.8,6,30,49.4,64,4.5,61.5,57.6,8.0,1,16,0,1,100.0,16,16.0,1.5,0.1,50,13.8,692,6,1,5,
TateGo00,Golden Tate,WR,2020,32,NYG,NFL,WR,12,4,52,35,388,11.1,2,19,44.2,39,2.9,32.3,67.3,7.5,0,0,0,0,,,,0.0,0.0,35,11.1,388,2,0,3,
