player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
TaylTy00,Tyrod Taylor,QB,2011,22,3,QB,1,,69,,All 2011 Games
TaylTy00,Tyrod Taylor,QB,2012,23,7,QB,18,,41,,All 2012 Games
TaylTy00,Tyrod Taylor,QB,2013,24,3,QB,5,,53,,All 2013 Games
TaylTy00,Tyrod Taylor,QB,2014,25,1,QB,,,74,,All 2014 Games
TaylTy00,Tyrod Taylor,QB,2015,26,14,QB,271,,16,,All 2015 Games
TaylTy00,Tyrod Taylor,QB,2016,27,15,QB,271,10,8,55,All 2016 Games
TaylTy00,Tyrod Taylor,QB,2017,28,15,QB,223,,16,,All 2017 Games
TaylTy00,Tyrod Taylor,QB,2018,29,4,QB,41,,41,,All 2018 Games
TaylTy00,Tyrod Taylor,QB,2019,30,8,QB,6,,55,,All 2019 Games
TaylTy00,Tyrod Taylor,QB,2020,31,2,QB,9,,61,,All 2020 Games
TaylTy00,Tyrod Taylor,QB,2021,32,6,QB,82,,37,,All 2021 Games
TaylTy00,Tyrod Taylor,QB,2022,33,3,QB,11,,65,,All 2022 Games
TaylTy00,Tyrod Taylor,QB,2023,34,11,QB,87,,35,,All 2023 Games
TaylTy00,Tyrod Taylor,QB,2024,35,2,QB,20,,52,,All 2024 Games
TaylTy00,Tyrod Taylor,QB,2025,36,3,QB,27,,39,,All 2025 Games
