player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
TheiJo00,Joe Theismann,QB,1974,25,WAS,NFL,QB,9,0,,9,11,81.8,145,1,9.1,0,0.0,,,69,13.2,15.00,16.1,16.1,149.1,2,11,15.38,10.31,11.85,0,0,1,
TheiJo00,Joe Theismann,QB,1975,26,WAS,NFL,QB,14,0,,10,22,45.5,96,1,4.5,3,13.6,,,30,4.4,-0.86,9.6,6.9,33.7,2,18,8.33,3.25,-1.54,0,0,1,
TheiJo00,Joe Theismann,QB,1976,27,WAS,NFL,QB,14,5,3-2-0,79,163,48.5,1036,8,4.9,10,6.1,,,44,6.4,4.58,13.1,74.0,59.8,22,172,11.89,4.67,3.10,0,1,5,
TheiJo00,Joe Theismann,QB,1977,28,WAS,NFL,QB,14,6,4-2-0,84,182,46.2,1097,7,3.8,9,4.9,,,52,6.0,4.57,13.1,78.4,57.9,30,241,14.15,4.04,2.79,2,2,6,
TheiJo00,Joe Theismann,QB,1978,29,WAS,NFL,QB,16,14,7-7-0,187,390,47.9,2593,13,3.3,18,4.6,118,36.1,63,6.6,5.24,13.9,162.1,61.6,42,391,9.72,5.10,3.82,2,2,9,
TheiJo00,Joe Theismann,QB,1979,30,WAS,NFL,QB,16,16,10-6-0,233,395,59.0,2797,20,5.1,13,3.3,143,42.2,62,7.1,6.61,12.0,174.8,83.9,34,263,7.93,5.91,5.48,3,4,14,
TheiJo00,Joe Theismann,QB,1980,31,WAS,NFL,QB,16,15,6-9-0,262,454,57.7,2962,17,3.7,16,3.5,139,42.5,54,6.5,5.69,11.3,185.1,75.2,31,282,6.39,5.53,4.74,2,2,9,
TheiJo00,Joe Theismann,QB,1981,32,WAS,NFL,QB,16,16,8-8-0,293,496,59.1,3568,19,3.8,20,4.0,167,43.1,79,7.2,6.15,12.2,223.0,77.3,28,259,5.34,6.31,5.32,2,2,12,
TheiJo00,Joe Theismann,QB,1982,33,WAS,NFL,QB,9,9,8-1-0,161,252,63.9,2033,13,5.2,9,3.6,86,45.4,78,8.1,7.49,12.6,225.9,91.3,30,223,10.64,6.42,5.90,2,2,14,"PB,AP MVP-4"
TheiJo00,Joe Theismann,QB,1983,34,WAS,NFL,QB,16,16,14-2-0,276,459,60.1,3714,29,6.3,11,2.4,174,45.6,84,8.1,8.28,13.5,232.1,97.0,34,242,6.90,7.04,7.22,2,4,18,"PB,AP-1,AP MVP-1,AP OPoY-1"
TheiJo00,Joe Theismann,QB,1984,35,WAS,NFL,QB,16,16,11-5-0,283,477,59.3,3391,24,5.0,13,2.7,163,47.4,80,7.1,6.89,12.0,211.9,86.6,48,341,9.14,5.81,5.61,3,3,15,
TheiJo00,Joe Theismann,QB,1985,36,WAS,NFL,QB,11,11,6-5-0,167,301,55.5,1774,8,2.7,16,5.3,89,39.3,55,5.9,4.03,10.6,161.3,59.6,37,314,10.95,4.32,2.66,0,0,3,
