player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
ToddRi00,Richard Todd,QB,1976,23,13,QB,35,,35,,All 1976 Games
ToddRi00,Richard Todd,QB,1977,24,12,QB,97,,16,,All 1977 Games
ToddRi00,Richard Todd,QB,1978,25,5,QB,39,,32,,All 1978 Games
ToddRi00,Richard Todd,QB,1979,26,15,QB,159,,15,78,All 1979 Games
ToddRi00,Richard Todd,QB,1980,27,16,QB,194,5,11,70,All 1980 Games
ToddRi00,Richard Todd,QB,1981,28,16,QB,211,27,6,53,All 1981 Games
ToddRi00,Richard Todd,QB,1982,29,9,QB,120,37,7,40,All 1982 Games
ToddRi00,Richard Todd,QB,1983,30,16,QB,164,,15,78,All 1983 Games
ToddRi00,Richard Todd,QB,1984,31,15,QB,95,,25,,All 1984 Games
ToddRi00,Richard Todd,QB,1985,32,2,QB,12,,55,,All 1985 Games
