player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,safety_md,awards
TomcMi00,Mike Tomczak,QB,1985,23,CHI,NFL,QB,6,0,0,0,0,0,,0,1,1,-13,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1986,24,CHI,NFL,QB,13,7,0,0,0,0,,0,2,0,0,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1987,25,CHI,NFL,QB,12,6,0,0,0,0,,0,6,1,0,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1988,26,CHI,NFL,QB,14,5,0,0,0,0,,0,1,0,-3,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1989,27,CHI,NFL,QB,16,11,0,0,0,0,,0,2,0,0,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1990,28,CHI,NFL,QB,16,2,0,0,0,0,,0,2,0,-2,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1991,29,GNB,NFL,QB,12,7,0,0,0,0,,0,5,2,-1,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1992,30,CLE,NFL,QB,12,8,0,0,0,0,,0,5,0,-7,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1993,31,PIT,NFL,QB,7,1,0,0,0,0,,0,2,1,0,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1994,32,PIT,NFL,QB,6,2,0,0,0,0,,0,2,0,-1,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1995,33,PIT,NFL,QB,7,4,0,0,0,0,,0,2,1,0,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1996,34,PIT,NFL,QB,16,15,0,0,0,0,,0,7,2,0,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,,,,,,,,,,,,,,,,,,,,,,,
TomcMi00,Mike Tomczak,QB,1998,36,PIT,NFL,QB,16,0,0,0,0,0,,0,2,0,0,0,0.0,0,0,0,0,
TomcMi00,Mike Tomczak,QB,1999,37,PIT,NFL,QB,16,5,0,0,0,0,0,0,3,0,-6,0,0.0,,,,0,
