player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
TomcMi00,Mike Tomczak,QB,1985,23,CHI,NFL,QB,6,0,2,3,0,1,50.0,3,1.5,0.5,0.3,0,0,0,,0,0,,,0.0,0.0,,,2,1.5,3,0,1,
TomcMi00,Mike Tomczak,QB,1986,24,CHI,NFL,QB,13,7,23,117,3,9,52.2,16,5.1,9.0,1.8,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,23,5.1,117,3,2,
TomcMi00,Mike Tomczak,QB,1987,25,CHI,NFL,QB,12,6,18,54,1,10,61.1,10,3.0,4.5,1.5,0,0,0,,0,0,,,0.0,0.0,,,18,3.0,54,1,6,
TomcMi00,Mike Tomczak,QB,1988,26,CHI,NFL,QB,14,5,13,40,1,5,46.2,17,3.1,2.9,0.9,0,0,0,,0,0,,,0.0,0.0,,,13,3.1,40,1,1,
TomcMi00,Mike Tomczak,QB,1989,27,CHI,NFL,QB,16,11,24,71,1,8,37.5,18,3.0,4.4,1.5,0,0,0,,0,0,,,0.0,0.0,,,24,3.0,71,1,2,
TomcMi00,Mike Tomczak,QB,1990,28,CHI,NFL,QB,16,2,12,41,2,5,41.7,14,3.4,2.6,0.8,1,1,5,5.0,0,0,0.0,5,0.1,0.3,100.0,5.0,13,3.5,46,2,2,
TomcMi00,Mike Tomczak,QB,1991,29,GNB,NFL,QB,12,7,17,93,1,2,35.3,48,5.5,7.8,1.4,0,0,0,,0,0,,,0.0,0.0,,,17,5.5,93,1,5,
TomcMi00,Mike Tomczak,QB,1992,30,CLE,NFL,QB,12,8,24,39,0,4,25.0,16,1.6,3.3,2.0,0,0,0,,0,0,,,0.0,0.0,,,24,1.6,39,0,5,
TomcMi00,Mike Tomczak,QB,1993,31,PIT,NFL,QB,7,1,5,-4,0,0,0.0,2,-0.8,-0.6,0.7,0,0,0,,0,0,,,0.0,0.0,,,5,-0.8,-4,0,2,
TomcMi00,Mike Tomczak,QB,1994,32,PIT,NFL,QB,6,2,4,22,0,2,75.0,13,5.5,3.7,0.7,0,0,0,,0,0,,,0.0,0.0,,,4,5.5,22,0,2,
TomcMi00,Mike Tomczak,QB,1995,33,PIT,NFL,QB,7,4,11,25,0,3,45.5,11,2.3,3.6,1.6,0,0,0,,0,0,,,0.0,0.0,,,11,2.3,25,0,2,
TomcMi00,Mike Tomczak,QB,1996,34,PIT,NFL,QB,16,15,22,-7,0,3,18.2,6,-0.3,-0.4,1.4,0,0,0,,0,0,,,0.0,0.0,,,22,-0.3,-7,0,7,
TomcMi00,Mike Tomczak,QB,1997,35,PIT,NFL,QB,16,0,7,13,0,1,14.3,17,1.9,0.8,0.4,0,0,0,,0,0,,,0.0,0.0,,,7,1.9,13,0,0,
TomcMi00,Mike Tomczak,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TomcMi00,Mike Tomczak,QB,1999,37,PIT,NFL,QB,16,5,16,19,0,4,25.0,17,1.2,1.2,1.0,0,0,0,,0,0,,,0.0,0.0,,,16,1.2,19,0,3,
