player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,awards
ValdMa00,Marquez Valdes-Scantling,WR,2018,24,GNB,NFL,WR,16,10,73,38,581,23,372,9.8,209,5.5,12.2,0,,5,6.8,0,87.8,2,29,2,29,14.5,0,0.0,0,,
ValdMa00,Marquez Valdes-Scantling,WR,2019,25,GNB,NFL,WR,16,10,56,26,452,14,301,11.6,151,5.8,16.9,0,,3,5.4,1,78.9,2,9,0,6,3.0,3,1.5,0,,
ValdMa00,Marquez Valdes-Scantling,WR,2020,26,GNB,NFL,WR,16,12,63,33,690,27,449,13.6,241,7.3,18.3,1,33.0,7,11.1,2,109.9,4,13,1,9,2.3,4,1.0,0,,
ValdMa00,Marquez Valdes-Scantling,WR,2021,27,GNB,NFL,WR,11,7,55,26,430,18,284,10.9,146,5.6,17.9,0,,0,0.0,1,84.7,0,0,0,0,,0,,0,,
ValdMa00,Marquez Valdes-Scantling,WR,2022,28,KAN,NFL,WR,17,11,81,42,687,32,538,12.8,149,3.5,13.9,0,,5,6.2,1,83.7,1,-3,0,-3,-3.0,0,0.0,1,1.0,
ValdMa00,Marquez Valdes-Scantling,WR,2023,29,KAN,NFL,WR,16,10,42,21,315,14,223,10.6,92,4.4,17.7,1,21.0,3,7.1,1,73.0,0,0,0,0,,0,,0,,
ValdMa00,Marquez Valdes-Scantling,WR,2024,30,2TM,NFL,WR,14,8,44,19,411,14,268,14.1,143,7.5,17.4,1,19.0,2,4.5,1,97.8,1,4,0,4,4.0,0,0.0,0,,
ValdMa00,Marquez Valdes-Scantling,WR,2024,30,BUF,NFL,WR,6,0,9,2,26,1,20,10.0,6,3.0,15.7,0,,0,0.0,0,39.6,0,0,0,0,,0,,0,,
ValdMa00,Marquez Valdes-Scantling,WR,2024,30,NOR,NFL,WR,8,8,35,17,385,13,248,14.6,137,8.1,17.8,1,17.0,2,5.7,1,114.6,1,4,0,4,4.0,0,0.0,0,,
ValdMa00,Marquez Valdes-Scantling,WR,2025,31,SFO,NFL,WR,5,0,8,4,40,1,36,9.0,4,1.0,11.0,0,,0,0.0,0,64.6,0,0,0,0,,0,,0,,
