player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
VanEMa00,Mark van Eeghen,RB,1974,22,OAK,NFL,RB,14,0,28,139,0,,,17,5.0,9.9,2.0,,4,33,8.3,0,,,12,0.3,2.4,,,32,5.4,172,0,0,2,
VanEMa00,Mark van Eeghen,RB,1975,23,OAK,NFL,FB,14,8,136,597,2,,,22,4.4,42.6,9.7,,12,42,3.5,1,,,18,0.9,3.0,,,148,4.3,639,3,5,6,
VanEMa00,Mark van Eeghen,RB,1976,24,OAK,NFL,FB,14,14,233,1012,3,,,21,4.3,72.3,16.6,,17,173,10.2,0,,,21,1.2,12.4,,,250,4.7,1185,3,3,13,
VanEMa00,Mark van Eeghen,RB,1977,25,OAK,NFL,FB,14,14,324,1273,7,,,27,3.9,90.9,23.1,,15,135,9.0,0,,,30,1.1,9.6,,,339,4.2,1408,7,3,16,"PB,AP-2"
VanEMa00,Mark van Eeghen,RB,1978,26,OAK,NFL,FB,16,16,270,1080,9,60,53.7,34,4.0,67.5,16.9,35,27,291,10.8,0,13,60.0,33,1.7,18.2,77.1,8.3,297,4.6,1371,9,5,11,
VanEMa00,Mark van Eeghen,RB,1979,27,OAK,NFL,FB,16,16,223,818,7,50,52.5,19,3.7,51.1,13.9,64,51,474,9.3,2,25,59.4,36,3.2,29.6,79.7,7.4,274,4.7,1292,9,3,12,
VanEMa00,Mark van Eeghen,RB,1980,28,OAK,NFL,FB,16,16,222,838,5,49,53.2,34,3.8,52.4,13.9,42,29,259,8.9,0,9,40.5,37,1.8,16.2,69.0,6.2,251,4.4,1097,5,3,8,
VanEMa00,Mark van Eeghen,RB,1981,29,OAK,NFL,RB,8,3,39,150,2,9,53.8,11,3.8,18.8,4.9,9,7,60,8.6,0,3,66.7,13,0.9,7.5,77.8,6.7,46,4.6,210,2,0,1,
VanEMa00,Mark van Eeghen,RB,1982,30,NWE,NFL,FB,9,5,82,386,0,21,59.8,17,4.7,42.9,9.1,4,2,14,7.0,1,2,50.0,9,0.2,1.6,50.0,3.5,84,4.8,400,1,2,4,
VanEMa00,Mark van Eeghen,RB,1983,31,NWE,NFL,FB,15,11,95,358,2,22,63.2,11,3.8,23.9,6.3,10,10,102,10.2,0,6,80.0,23,0.7,6.8,100.0,10.2,105,4.4,460,2,1,3,
