player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
WillDa05,Damien Williams,RB,2014,22,MIA,NFL,RB,16,0,36,122,0,6,47.2,19,3.4,7.6,2.3,27,21,187,8.9,1,13,63.0,32,1.3,11.7,77.8,6.9,57,5.4,309,1,0,2,
WillDa05,Damien Williams,RB,2015,23,MIA,NFL,RB,16,0,16,59,0,2,37.5,19,3.7,3.7,1.0,28,21,142,6.8,1,6,39.3,23,1.3,8.9,75.0,5.1,37,5.4,201,1,2,1,
WillDa05,Damien Williams,RB,2016,24,MIA,NFL,RB,15,0,35,115,3,9,37.1,23,3.3,7.7,2.3,32,23,249,10.8,3,10,34.4,58,1.5,16.6,71.9,7.8,58,6.3,364,6,1,3,
WillDa05,Damien Williams,RB,2017,25,MIA,NFL,RB,11,4,46,181,0,7,28.3,69,3.9,16.5,4.2,28,20,155,7.8,1,13,57.1,24,1.8,14.1,71.4,5.5,66,5.1,336,1,0,2,
WillDa05,Damien Williams,RB,2018,26,KAN,NFL,RB,16,3,50,256,4,15,62.0,25,5.1,16.0,3.1,24,23,160,7.0,2,9,66.7,32,1.4,10.0,95.8,6.7,73,5.7,416,6,1,4,
WillDa05,Damien Williams,RB,2019,27,KAN,NFL,RB,11,6,111,498,5,22,46.8,91,4.5,45.3,10.1,37,30,213,7.1,2,10,43.2,32,2.7,19.4,81.1,5.8,141,5.0,711,7,1,6,
WillDa05,Damien Williams,RB,2020,,Did not play - Opted out during COVID-19 pandemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillDa05,Damien Williams,RB,2021,29,CHI,NFL,RB,12,2,40,164,2,11,52.5,23,4.1,13.7,3.3,23,16,103,6.4,1,3,30.4,23,1.3,8.6,69.6,4.5,56,4.8,267,3,0,2,
WillDa05,Damien Williams,RB,2022,30,ATL,NFL,RB,1,1,2,2,0,0,0.0,2,1.0,2.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,1.0,2,0,0,0,
WillDa05,Damien Williams,RB,2023,31,ARI,NFL,RB,3,0,11,43,0,1,54.5,9,3.9,14.3,3.7,2,2,12,6.0,0,0,50.0,8,0.7,4.0,100.0,6.0,13,4.2,55,0,0,0,
