player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards
WillJo00,John Williams,FB,1986,22,SEA,NFL,FB,16,16,129,538,0,32,56.6,36,4.2,33.6,8.1,38,33,219,6.6,0,12,52.6,23,2.1,13.7,86.8,5.8,162,4.7,757,0,1,6,AP ORoY-2
WillJo00,John Williams,FB,1987,23,SEA,NFL,FB,12,10,113,500,1,34,69.0,48,4.4,41.7,9.4,44,38,420,11.1,3,18,77.3,75,3.2,35.0,86.4,9.5,151,6.1,920,4,2,10,
WillJo00,John Williams,FB,1988,24,SEA,NFL,FB,16,16,189,877,4,53,57.1,44,4.6,54.8,11.8,83,58,651,11.2,3,26,49.4,75,3.6,40.7,69.9,7.8,247,6.2,1528,7,0,14,
WillJo00,John Williams,FB,1989,25,SEA,NFL,FB,15,15,146,499,1,29,41.8,21,3.4,33.3,9.7,95,76,657,8.6,6,29,48.4,51,5.1,43.8,80.0,6.9,222,5.2,1156,7,2,9,
WillJo00,John Williams,FB,1990,26,SEA,NFL,FB,16,16,187,714,3,48,48.7,25,3.8,44.6,11.7,97,73,699,9.6,0,27,46.4,60,4.6,43.7,75.3,7.2,260,5.4,1413,3,5,12,PB
WillJo00,John Williams,FB,1991,27,SEA,NFL,FB,16,16,188,741,4,34,41.5,42,3.9,46.3,11.8,80,61,499,8.2,1,21,51.3,35,3.8,31.2,76.3,6.2,249,5.0,1240,5,2,9,PB
WillJo00,John Williams,FB,1992,28,SEA,NFL,FB,16,16,114,339,1,12,32.5,14,3.0,21.2,7.1,120,74,556,7.5,2,27,37.5,27,4.6,34.8,61.7,4.6,188,4.8,895,3,4,4,
WillJo00,John Williams,FB,1993,29,SEA,NFL,FB,16,9,82,371,3,24,53.7,38,4.5,23.2,5.1,90,58,450,7.8,1,16,40.0,25,3.6,28.1,64.4,5.0,140,5.9,821,4,2,7,
WillJo00,John Williams,FB,1994,30,PIT,NFL,FB,15,12,68,317,1,23,58.8,23,4.7,21.1,4.5,68,51,378,7.4,2,18,39.7,23,3.4,25.2,75.0,5.6,119,5.8,695,3,0,5,
WillJo00,John Williams,FB,1995,31,PIT,NFL,FB,11,7,29,110,0,8,31.0,31,3.8,10.0,2.6,36,24,127,5.3,1,5,33.3,20,2.2,11.5,66.7,3.5,53,4.5,237,1,2,2,
