player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
WillMo00,Moe Williams,RB,1996,22,9,RB,,,163,,All 1996 Games
WillMo00,Moe Williams,RB,1997,23,14,RB,13,,104,,All 1997 Games
WillMo00,Moe Williams,RB,1998,24,12,RB,6,,124,,All 1998 Games
WillMo00,Moe Williams,RB,1999,25,14,RB,20,,99,,All 1999 Games
WillMo00,Moe Williams,RB,2000,26,16,RB,12,,104,,All 2000 Games
WillMo00,Moe Williams,RB,2001,27,15,RB,48,,59,,All 2001 Games
WillMo00,Moe Williams,RB,2002,28,16,RB,133,,27,,All 2002 Games
WillMo00,Moe Williams,RB,2003,29,16,RB,185,43,13,32,All 2003 Games
WillMo00,Moe Williams,RB,2004,30,14,RB,63,,51,,All 2004 Games
WillMo00,Moe Williams,RB,2005,31,6,RB,7,,122,,All 2005 Games
