player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,av,awards
WilsMa00,Marc Wilson,QB,1980,23,OAK,NFL,QB,2,0,,3,5,60.0,31,0,0.0,0,0.0,3,60.0,12,6.2,6.20,10.3,15.5,77.9,0,0,0.00,6.20,6.20,0,0,0,
WilsMa00,Marc Wilson,QB,1981,24,OAK,NFL,QB,13,9,5-4-0,173,366,47.3,2311,14,3.8,19,5.2,120,39.1,66,6.3,4.74,13.4,177.8,58.9,30,241,7.58,5.23,3.78,4,3,5,
WilsMa00,Marc Wilson,QB,1982,25,RAI,NFL,QB,8,0,,1,2,50.0,4,0,0.0,0,0.0,1,50.0,4,2.0,2.00,4.0,0.5,56.2,0,0,0.00,2.00,2.00,0,0,0,
WilsMa00,Marc Wilson,QB,1983,26,RAI,NFL,QB,10,3,2-1-0,67,117,57.3,864,8,6.8,6,5.1,44,48.0,50,7.4,6.44,12.9,86.4,82.0,10,75,7.87,6.21,5.35,1,1,4,
WilsMa00,Marc Wilson,QB,1984,27,RAI,NFL,QB,16,10,6-4-0,153,282,54.3,2151,15,5.3,17,6.0,93,42.0,92,7.6,5.98,14.1,134.4,71.7,37,228,11.60,6.03,4.57,2,3,7,
WilsMa00,Marc Wilson,QB,1985,28,RAI,NFL,QB,16,13,11-2-0,193,388,49.7,2608,16,4.1,21,5.4,126,39.8,59,6.7,5.11,13.5,163.0,62.7,27,202,6.51,5.80,4.29,1,4,8,
WilsMa00,Marc Wilson,QB,1986,29,RAI,NFL,QB,16,8,5-3-0,129,240,53.8,1721,12,5.0,15,6.3,83,41.6,57,7.2,5.36,13.3,107.6,67.4,34,227,12.41,5.45,3.86,0,0,5,
WilsMa00,Marc Wilson,QB,1987,30,RAI,NFL,QB,15,7,2-5-0,152,266,57.1,2070,12,4.5,8,3.0,94,45.5,47,7.8,7.33,13.6,138.0,84.6,33,238,11.04,6.13,5.73,0,0,8,
WilsMa00,Marc Wilson,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsMa00,Marc Wilson,QB,1989,32,NWE,NFL,QB,14,4,1-3-0,75,150,50.0,1006,3,2.0,5,3.3,51,40.0,65,6.7,5.61,13.4,71.9,64.5,10,71,6.25,5.84,4.81,1,1,3,
WilsMa00,Marc Wilson,QB,1990,33,NWE,NFL,QB,16,6,0-6-0,139,265,52.5,1625,6,2.3,11,4.2,80,37.4,36,6.1,4.72,11.7,101.6,61.6,29,228,9.86,4.75,3.48,0,0,1,
