player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
WilsRu00,Russell Wilson,QB,2012,24,SEA,NFL,QB,2,2,1-1-0,39,62,62.9,572,3,4.8,1,1.6,28,55.1,34,9.2,9.47,14.7,286.0,102.4,7,48,10.14,7.59,7.81,1,1,
WilsRu00,Russell Wilson,QB,2013,25,SEA,NFL,QB,3,3,3-0-0,43,68,63.2,524,3,4.4,0,0.0,24,42.7,51,7.7,8.59,12.2,174.7,101.6,7,22,9.33,6.69,7.49,1,1,
WilsRu00,Russell Wilson,QB,2014,26,SEA,NFL,QB,3,3,2-1-0,41,72,56.9,724,6,8.3,5,6.9,29,41.5,63,10.1,8.60,17.7,241.3,90.3,10,58,12.20,8.12,6.84,1,1,
WilsRu00,Russell Wilson,QB,2015,27,SEA,NFL,QB,2,2,1-1-0,44,74,59.5,508,4,5.4,3,4.1,27,43.2,35,6.9,6.12,11.5,254.0,81.4,7,54,8.64,5.60,4.93,1,1,
WilsRu00,Russell Wilson,QB,2016,28,SEA,NFL,QB,2,2,1-1-0,40,60,66.7,449,4,6.7,2,3.3,23,50.0,42,7.5,7.32,11.2,224.5,97.2,6,31,9.09,6.33,6.18,0,0,
WilsRu00,Russell Wilson,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsRu00,Russell Wilson,QB,2018,30,SEA,NFL,QB,1,1,0-1-0,18,27,66.7,233,1,3.7,0,0.0,6,32.1,53,8.6,9.37,12.9,233.0,105.9,1,7,3.57,8.07,8.79,0,0,
WilsRu00,Russell Wilson,QB,2019,31,SEA,NFL,QB,2,2,1-1-0,39,61,63.9,602,2,3.3,0,0.0,25,52.2,53,9.9,10.52,15.4,301.0,107.4,6,19,8.96,8.70,9.30,0,0,
WilsRu00,Russell Wilson,QB,2020,32,SEA,NFL,QB,1,1,0-1-0,11,27,40.7,174,2,7.4,1,3.7,5,28.1,51,6.4,6.26,15.8,174.0,72.1,5,32,15.63,4.44,4.28,0,0,
WilsRu00,Russell Wilson,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsRu00,Russell Wilson,QB,2024,36,PIT,NFL,QB,1,1,0-1-0,20,29,69.0,270,2,6.9,0,0.0,9,42.4,37,9.3,10.69,13.5,270.0,121.3,4,19,12.12,7.61,8.82,0,0,
