player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
WinsJa00,Jameis Winston,QB,2015,21,TAM,NFL,QB,16,16,54,213,6,19,42.6,21,3.9,13.3,3.4,0,0,0,0,0,0.0,0.0,54,3.9,213,6,6,"PB,AP ORoY-2"
WinsJa00,Jameis Winston,QB,2016,22,TAM,NFL,QB,16,16,53,165,1,13,32.1,14,3.1,10.3,3.3,0,0,0,0,0,0.0,0.0,53,3.1,165,1,10,
WinsJa00,Jameis Winston,QB,2017,23,TAM,NFL,QB,13,13,33,135,1,8,45.5,17,4.1,10.4,2.5,0,0,0,0,0,0.0,0.0,33,4.1,135,1,15,
WinsJa00,Jameis Winston,QB,2018,24,TAM,NFL,QB,11,9,49,281,1,19,53.1,18,5.7,25.5,4.5,0,0,0,0,0,0.0,0.0,49,5.7,281,1,7,
WinsJa00,Jameis Winston,QB,2019,25,TAM,NFL,QB,16,16,59,250,1,18,37.3,26,4.2,15.6,3.7,0,0,0,0,0,0.0,0.0,59,4.2,250,1,12,
WinsJa00,Jameis Winston,QB,2020,26,NOR,NFL,QB,4,0,8,-6,0,0,12.5,3,-0.8,-1.5,2.0,0,0,0,0,0,0.0,0.0,8,-0.8,-6,0,0,
WinsJa00,Jameis Winston,QB,2021,27,NOR,NFL,QB,7,7,32,166,1,17,56.3,20,5.2,23.7,4.6,0,0,0,0,0,0.0,0.0,32,5.2,166,1,2,
WinsJa00,Jameis Winston,QB,2022,28,NOR,NFL,QB,3,3,5,16,0,0,40.0,6,3.2,5.3,1.7,0,0,0,0,0,0.0,0.0,5,3.2,16,0,3,
WinsJa00,Jameis Winston,QB,2023,29,NOR,NFL,QB,7,0,5,-6,0,0,0.0,-1,-1.2,-0.9,0.7,0,0,0,0,0,0.0,0.0,5,-1.2,-6,0,0,
WinsJa00,Jameis Winston,QB,2024,30,CLE,NFL,QB,12,7,25,83,1,17,76.0,13,3.3,6.9,2.1,0,0,0,0,0,0.0,0.0,25,3.3,83,1,5,
