player_id,player_name,position,year_id,age,g,fantasy_pos,fantasy_points,vbd,fantasy_rank_pos,fantasy_rank_overall,games
YounSt00,Steve Young,QB,1985,24,5,QB,59,,37,,All 1985 Games
YounSt00,Steve Young,QB,1986,25,14,QB,159,,12,75,All 1986 Games
YounSt00,Steve Young,QB,1987,26,8,QB,88,,25,,All 1987 Games
YounSt00,Steve Young,QB,1988,27,11,QB,53,,34,,All 1988 Games
YounSt00,Steve Young,QB,1989,28,10,QB,89,,30,,All 1989 Games
YounSt00,Steve Young,QB,1990,29,6,QB,40,,36,,All 1990 Games
YounSt00,Steve Young,QB,1991,30,11,QB,215,64,5,18,All 1991 Games
YounSt00,Steve Young,QB,1992,31,16,QB,293,131,1,6,All 1992 Games
YounSt00,Steve Young,QB,1993,32,16,QB,290,129,1,3,All 1993 Games
YounSt00,Steve Young,QB,1994,33,16,QB,348,172,1,2,All 1994 Games
YounSt00,Steve Young,QB,1995,34,11,QB,223,20,9,53,All 1995 Games
YounSt00,Steve Young,QB,1996,35,12,QB,193,38,7,39,All 1996 Games
YounSt00,Steve Young,QB,1997,36,15,QB,223,38,8,40,All 1997 Games
YounSt00,Steve Young,QB,1998,37,15,QB,364,168,1,3,All 1998 Games
YounSt00,Steve Young,QB,1999,38,3,QB,26,,53,,All 1999 Games
